MP.name,Nature.of.membership,Start.of.term,End.of.term,State,Constituency,Political.party,Gender,Educational.qualifications,Educational.qualifications...details,Age,Debates,Private.Member.Bills,Questions,Attendance,Notes,National.Debates.average,National.Private.Member.Bills.average,National.Questions.average,National.Attendance.average,State.s.Debates.average,State.s.Private.Member.Bills..average,State.s.Questions.average,State.s.Attendance.average,Minister,MajorCriminal,Category,Immoveable,Moveable,MOV,Entitlement,Released,AvailablewInterest,Recommended,Sanctioned,Expenditure,ExpenditureReleasedPerc,Unspent
S.S. Ramasubbu,Elected,18-May-09,In office,Tamil Nadu,Tirunelveli,Indian National Congress,Male,Post Graduate,"M.A. (Economics), J.C.I.I.B. (Banking); Educated at Madurai Kamaraj University and Indian Institute of Bankers",64,171,2,1063,97%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,16800000,23400000,0.0303986,19,19.03,19.53,19.28,19.19,19.4,101.97,0.13
Sabbam Hari,Elected,18-May-09,In office,Andhra Pradesh,Anakapalli,Indian National Congress,Male,Graduate,B.Com.; Educated at A.V.N. College,61,0,0,0,70%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,GEN,8.3E+07,4159572,0.0504811,19,19,19.9,20.72,19.61,19.35,101.84,0.55
Sachin Pilot,Elected,18-May-09,In office,Rajasthan,Ajmer,Indian National Congress,Male,Post Graduate,"B.A. (Hons), M.B.A.; Educated at St. Stephens College, University of Delhi, Delhi and Wharton Business School, University of Pennsylvania, Philadelphia, USA",36,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,40900000,6375558,0.098727897,19,19,19.19,20.02,18.59,16.49,86.79,2.7
Sadashivrao Dadoba Mandlik,Elected,18-May-09,In office,Maharashtra,Kolhapur,Independent,Male,Graduate,"B.A. (Hons.) English; Educated at University of Poona, Pune, Maharashtra",79,8,0,72,50%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,11100000,2.96E+08,0.043588199,19,19.35,20.94,58.77,21,16.54,85.46,4.4
Sai Prathap Annayyagari,Elected,18-May-09,In office,Andhra Pradesh,Rajampet,Indian National Congress,Male,Under Graduate,"Educated at Gulbarga Medical College, Gulbarga, Karnataka",69,1,0,163,78%,"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",22,0.4,182,76%,10.2,0.1,167,68%,1,0,GEN,4672500,1817804,0.1108595,19,19,19.83,19.76,19.76,19.32,101.68,0.51
Sajjan Singh Verma,Elected,18-May-09,In office,Madhya Pradesh,Dewas,Indian National Congress,Male,Post Graduate,"M.A. (Sociology); Educated at G.A.C.C. Indore, Madhya Pradesh",60,64,0,434,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,SC,20500000,6270225,0.0197425,19,19.03,19.3,23.34,18.97,18.66,98.03,0.64
Sakti Mohan Malik,Elected,18-May-09,In office,West Bengal,Arambagh,Communist Party of India (Marxist),Male,Post Graduate,"M.A., B.Ed. (Bengali and Political Science); Educated at Burdwan University, West Bengal",54,7,0,28,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,SC,2046460,373849,0.1732585,19,20.14,21.57,24.7,19.68,21.58,107.13,-0.01
Salman Khurshid,Elected,18-May-09,In office,Uttar Pradesh,Farrukhabad,Indian National Congress,Male,Post Graduate,"B.A., M.A., B.CL.; Educated at St. Stephen`s College, Delhi and Oxford University, Oxford",61,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,13200000,14800000,0.0445145,19,19.06,19.72,19.86,19.25,19.79,103.82,-0.07
Sambasiva Rayapati Rao,Elected,18-May-09,In office,Andhra Pradesh,Guntur,Indian National Congress,Male,Graduate,"B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh",70,14,0,690,61%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,GEN,66300000,2.55E+08,0.037670001,19,19,20.44,19.96,19.96,17.85,93.95,2.59
Sameer Magan Bhujbal,Elected,18-May-09,In office,Maharashtra,Nashik,Nationalist Congress Party,Male,Matric,Educated at St. Mary`s Convent High School,40,15,0,346,70%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,46600000,2E+07,0.033539802,19,19.35,20.65,21.83,20.25,18.22,94.14,2.43
Sandeep Dikshit,Elected,18-May-09,In office,Delhi,East Delhi,Indian National Congress,Male,Post Graduate,"M.A., P.G. Diploma in Rural Development; Educated at St. Stephans College, University of Delhi and Institute of Rural Management, Anand, Gujarat",49,16,0,2,91%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,32,5.6,296,84%,0,0,GEN,12300000,5444728,0.2811422,19,10.5,13.83,40.69,14.11,12.62,120.19,1.21
Sanjay Bhoi,Elected,18-May-09,In office,Orissa,Bargarh,Indian National Congress,Male,Graduate,"B.A., GNIIT & Microsoft Certified Product Specialist; Educated at Delhi University",39,4,0,421,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,GEN,1400000,3E+05,0.107048,19,16.5,17.21,20.81,18.04,17.21,104.3,0
Sanjay Dina Patil,Elected,18-May-09,In office,Maharashtra,Mumbai-North-East,Nationalist Congress Party,Male,Graduate,B.Com.; Educated at Mumbai University,45,7,0,467,82%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,9E+05,3723502,0.0043913,19,19.35,21.03,21.78,20.62,20.16,104.16,0.87
Sanjay Jaiswal,Elected,18-May-09,In office,Bihar,Paschim Champaran,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",48,40,0,208,85%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,NA,3429874,0.091843098,19,19.48,19.78,19.94,20.29,19.77,101.51,0.01
Sanjay Nirupam,Elected,18-May-09,In office,Maharashtra,Mumbai-North,Indian National Congress,Male,Graduate,"B.A. (Hons.) Political Science; Educated at A.N. College, Patna",49,57,0,334,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,16400000,5487926,0.0084362,19,19.35,21.14,23.73,20.64,19.89,102.77,1.25
Sanjay Shamrao Dhotre,Elected,18-May-09,In office,Maharashtra,Akola,Bharatiya Janata Party,Male,Graduate,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",55,18,0,395,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,17200000,2637203,0.087756298,19,19.35,20.91,24.6,20.59,20.36,105.2,0.55
Sanjay Singh Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Bijnor,Rashtriya Lok Dal,Male,Graduate,"B.A., LL.B.; Educated at S.D. Degree College, Muzaffar Nagar and D.A.V. Degree College, Muzaffar Nagar, Ch. Charan Singh University, Meerut",52,34,0,277,90%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,NA,3652624,0.040178601,19,19.06,19.51,19.68,19.51,19.5,102.3,0.01
Sanjeev Ganesh Naik,Elected,18-May-09,In office,Maharashtra,Thane,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Educated at Mumbai University, Maharashtra",41,76,2,756,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,13500000,49300000,0.065371104,19,19.35,20.97,18.87,18.87,18.23,94.19,2.74
Sansuma Khunggur Bwiswmuthiary,Elected,18-May-09,In office,Assam,Kokrajhar,Bodoland People's Front,Male,Graduate,"B.A. (Hons. in Political Science), Prabin (Hindi); Educated at Ouabari Lower Primary School, Hashraobari, Borobazar High School, Bijni, Kokrajhar College, under Guwahati University and the Asom Rashtra Bhasha Prachar Samiti, Guwahati, Assam",54,51,0,100,64%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%,0,0,ST,3100000,3071330,0.18754929,19,19,19.66,19.66,19.66,19.06,100.32,0.6
Santosh Chowdhary,Elected,18-May-09,In office,Punjab,Hoshiarpur,Indian National Congress,Female,Post Graduate,"M.A., B.Ed., Certificates in Home Science, Poultry and Animal Husbandry; Educated at Govt. College for Girls, Chandigarh, Govt. College of Education, Chandigarh, Punjab University and Himachal Pradesh University",69,39,0,0,85%,"This MP was appointed a minister in Jun, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",33.6,0.8,265,76%,22.5,0.7,158,78%,1,0,SC,NA,NA,0.000434,19,19,19.74,19.45,19.41,19.73,103.84,0.01
Sarika Singh Baghel,Elected,18-May-09,In office,Uttar Pradesh,Hathras,Rashtriya Lok Dal,Female,Post Graduate,"M.A. (English); Educated at P. C. Bagla College, Hathras",33,1,0,23,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,SC,NA,825272,0.0568293,19,19.06,19.71,20.3,19.43,19.16,100.51,0.55
Saroj Pandey,Elected,18-May-09,In office,Chhattisgarh,Durg,Bharatiya Janata Party,Female,Post Graduate,"M.Sc. (Child Development); Educated at Bhilai Mahila College (Pt. Ravishankar University, Raipur) ",45,33,4,439,69%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.6,0.5,183,60%,0,0,GEN,NA,2.8E+07,0.0109926,19,19.09,21.45,23.92,19.28,21.46,112.41,-0.01
Satabdi Roy,Elected,18-May-09,In office,West Bengal,Birbhum,All India Trinamool Congress,Female,Graduate,B.A.,44,6,0,0,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,7900000,4789000,0.060461398,19,20.14,21.29,20.8,20.13,21.29,105.7,0
Sathyanarayana Sarvey,Elected,18-May-09,In office,Andhra Pradesh,Malkajgiri,Indian National Congress,Male,Post Graduate,"B.A, LL.B, LL.M.; Educated at Osmania University, Hyderabad and; Evening College of Law, Thilak Road, Abids, Hyderabad; Andhra Pradesh",59,4,0,267,72%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,16,0.4,266,68%,1,0,GEN,4500000,3651252,0.077403098,19,19,20.91,19.71,19.71,20.9,110,0.01
Satpal Maharaj,Elected,18-May-09,In office,Uttarakhand,Garhwal,Indian National Congress,Male,Inter/ Higher Secondary,"Senior Cambridge; Educated at St. George`s College, Mussoorie (Uttarakhand) ",62,155,9,139,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,53,4.6,112,79%,0,0,GEN,84100000,2.8E+07,0.0326051,19,14,14.94,22.59,17.25,12.97,92.64,1.97
Saugata Roy,Elected,18-May-09,In office,West Bengal,Dum Dum,All India Trinamool Congress,Male,Post Graduate,"M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",66,68,0,195,95%,"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,9.5,0.1,43,72%,1,0,GEN,5E+05,3471400,0.0209883,19,20.14,21.06,21.56,21.08,20.93,103.91,0.13
Seema Upadhyay,Elected,18-May-09,In office,Uttar Pradesh,Fatehpur Sikri,Bahujan Samaj Party,Female,Graduate,B.A.; Educated at Ismail Degree College,48,13,0,399,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,24800000,8156096,0.014319,19,19.06,19.67,19.15,19.15,19.15,100.46,0.52
Shafiqur Rahman Barq,Elected,18-May-09,In office,Uttar Pradesh,Sambhal,Bahujan Samaj Party,Male,Graduate,"B.A.; Educated at Agra University, Agra, Uttar Pradesh",83,31,0,97,98%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,4350000,2709762,0.0197441,19,19.06,19.97,20.99,19.68,16.89,88.6,3.08
Shailendra Kumar,Elected,18-May-09,In office,Uttar Pradesh,Kaushambi,Samajwadi Party,Male,Post Graduate,M. Com.; Educated at Allahabad University (Uttar Pradesh) ,53,353,3,168,97%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,SC,18100000,629000,0.1011933,19,19.06,19.52,19.72,19.21,19.11,100.25,0.41
Sharad Yadav,Elected,18-May-09,In office,Bihar,Madhepura,Janata Dal (United),Male,Graduate,"B.Sc., B.E. (Electrical); Educated at Robertson College and Jabalpur Engineering College, Jabalpur, Madhya Pradesh",66,159,0,42,83%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,4600000,11100000,0.2348087,19,19.48,20.72,16.75,16.73,20.72,106.39,-0.01
Sharifuddin Shariq,Elected,18-May-09,In office,Jammu and Kashmir,Baramulla,Jammu and Kashmir National Conference,Male,Post Graduate,"M.A. (Urdu), B.Ed, D.T. and LL.B.; Educated at Jammu and Kashmir University and Aligarh Muslim University, Aligarh (UP) ",78,43,0,58,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,44.4,0,96,88%,0,0,GEN,9E+06,1955000,0.14689261,19,20,20.15,21.15,21.15,18.9,94.5,1.25
Shashi Tharoor,Elected,18-May-09,In office,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,"Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",57,12,1,88,87%,"This MP was a Minister till 18th Apr, 2010. He was again appointed Minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th Apr, 2010 to 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",23.1,0.5,181,78%,40,1,251,83%,1,0,GEN,12700000,2E+08,0.1355646,19,19.6,20.53,22.06,19.85,19.73,100.66,0.8
Shatrughan Sinha,Elected,18-May-09,In office,Bihar,Patna Sahib,Bharatiya Janata Party,Male,Graduate,"Educated at Film & Television Institute of Pune (FTII), Maharashtra",67,7,0,66,75%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,69200000,80900000,0.30189201,19,19.48,21.02,21.55,19.65,19.23,98.74,1.79
Sher Singh Ghubaya,Elected,18-May-09,In office,Punjab,Ferozpur,Shiromani Akali Dal,Male,Matric,,51,12,0,51,64%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%,0,0,GEN,NA,NA,0.022020301,19,19,19.82,19.27,19.27,19.82,104.32,0
Shibu Soren,Elected,18-May-09,In office,Jharkhand,Dumka,Jharkhand Mukti Morcha,Male,Matric,"Educated at Gola High School, Hazaribagh (Jharkhand) ",70,0,0,0,23%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%,0,1,ST,NA,NA,0.030243799,19,19.14,22.55,23.39,21.76,22.55,117.8,0
Shivaji Adhalrao Patil,Elected,18-May-09,In office,Maharashtra,Shirur,Shiv Sena,Male,Inter/ Higher Secondary,"Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.",57,10,0,1082,43%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,1.05E+08,21800000,0.2129546,19,19.35,21.14,37.77,20.94,20.94,108.19,0.2
Shivaramagouda Shivanagouda,Elected,18-May-09,In office,Karnataka,Koppal,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Karnataka College, Dhawar and Karnataka University Law College, Dhawar",60,60,0,289,77%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,NA,2212378,0.1083752,19,17.11,17.95,20.15,19.29,16.34,95.52,1.61
Shivraj Singh Lodhi,Elected,18-May-09,In office,Madhya Pradesh,Damoh,Bharatiya Janata Party,Male,Matric,"Educated at Govt. Higher Secondary School, Distt. Sagar, Madhya Pradesh",70,14,0,93,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,GEN,645000,1417122,0.1183011,19,19.03,21.01,23.55,19.71,21.02,110.43,-0.01
Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,Elected,18-May-09,In office,Maharashtra,Satara,Nationalist Congress Party,Male,Post Graduate,"Production Engg., Educated at Bharati Vidyapeeth",48,1,0,41,51%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,95600000,21700000,0.3643133,19,19.35,21.15,32.04,20.72,19.51,100.81,1.64
Shripad Yesso Naik,Elected,18-May-09,In office,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",61,34,0,140,81%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.5,0.5,214,88%,0,0,GEN,5450000,4431462,0.021734901,19,17.5,18.4,19.21,17.42,18.41,105.2,-0.01
Shriprakash Jaiswal,Elected,18-May-09,In office,Uttar Pradesh,Kanpur,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at D.A.V. College, Kanpur, Uttar Pradesh",69,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,15200000,15700000,0.036862601,19,19.06,19.48,19.64,19.64,19.48,102.19,0
Shruti Choudhry,Elected,18-May-09,In office,Haryana,Bhiwani-Mahendragarh,Indian National Congress,Female,Graduate,"B.A., LL.B.; Educated at Univeristy of Delhi and B.R. Ambedkar University, Agra",38,24,0,664,81%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%,0,0,GEN,1.01E+08,68200000,0.064296097,19,19,19.76,22.37,19.99,18.25,96.05,1.51
Sidhant Mohapatra,Elected,18-May-09,In office,Orissa,Berhampur,Biju Janata Dal,Male,Post Graduate,M.B.A.; Educated at Institute of Marketing and Management,47,3,0,4,58%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,GEN,3850000,3415916,0.080581203,19,19,19.45,19.02,18.69,18.9,99.47,0.55
Sisir Kumar Adhikari,Elected,18-May-09,In office,West Bengal,Kanthi,All India Trinamool Congress,Male,Inter/ Higher Secondary,I.Sc.,72,0,0,0,43%,"This MP was a Minister. He tendered his resignation on 21st Sep, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,9.5,0.1,43,72%,1,1,GEN,950000,137573,0.1148147,19,20.14,21.04,20.91,21.04,21.04,104.45,0
Sivakumar @ J.K. Ritheesh. K,Elected,18-May-09,In office,Tamil Nadu,Ramanthapuram,Dravida Munnetra Kazhagam,Male,Graduate,"B.E. (Civil), D.C.E.,; Educated at Alagappa Engneering College, Karaikudi, Tamil Nadu",40,16,0,161,38%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,1,GEN,NA,NA,0.089883603,19,19.03,19.14,19.23,18.97,19.11,100.44,0.03
Sk. Nurul Islam,Elected,18-May-09,In office,West Bengal,Basirhat,All India Trinamool Congress,Male,Matric,ALIM; Educated at Khorki Sr. Madrasa,50,1,0,4,37%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,6E+05,1016000,0.0581608,19,20.14,20.94,22.66,21.51,20.93,103.91,0.01
Sk. Saidul Haque,Elected,18-May-09,In office,West Bengal,Bardhaman-Durgapur,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (English), B.Ed.; Educated at Burdwan Raj College, Burdwan University",59,96,0,258,97%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,2366000,686520,0.095360599,19,20.14,21.25,20.99,21.51,19.71,97.85,1.54
Sohan Potai,Elected,18-May-09,In office,Chhattisgarh,Kanker,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Sociology); Educated at Pandit Ravi Shankar University, Raipur (Chhattisgarh) ",55,24,0,5,69%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.6,0.5,183,60%,0,0,ST,NA,3138761,0.0260019,19,19.09,19.94,20.38,19.19,19.13,100.2,0.81
Solanki Dinubhai Boghabhal,Elected,18-May-09,In office,Gujarat,Junagadh,Bharatiya Janata Party,Male,Graduate,B.A.,57,0,0,0,15%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,1,GEN,15600000,3938165,0.018103501,19,19.08,20.63,22.28,20.47,17.89,93.78,2.74
Somabhai Gandalal Koli Patel,Elected,18-May-09,In office,Gujarat,Surendranagar,Indian National Congress,Male,Under Matric,"Educated at Viramgam Taluka Shala, Viramgam, Ahmedabad, Gujarat",73,1,0,10,83%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,0,GEN,16200000,1233989,0.0082396,19,19.08,20.89,22.18,20.71,20.82,109.14,0.07
Somendra Nath Mitra,Elected,18-May-09,In office,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Graduate,"B.Sc., LL.B.",70,1,0,278,48%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,6748345,NA,0.1439022,19,20.14,21.2,19.17,18.07,21.2,105.25,0
Sonawane Pratap Narayanrao,Elected,18-May-09,In office,Maharashtra,Dhule,Bharatiya Janata Party,Male,Graduate,"B.E.(Civil); Educated at College of Engineering., Pune, (Maharashtra)",65,14,0,293,53%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,NA,NA,0.0289876,19,19.35,20.7,21.28,20.62,17.35,89.64,3.35
Sonia Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Rae Bareli,Indian National Congress,Female,Diploma Course,"(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",67,2,0,0,47%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,2024300,11800000,0.55826312,19,19.06,19.93,28.23,19.94,19.39,101.72,0.54
Srikanta Kumar Jena,Elected,18-May-09,In office,Orissa,Balasore,Indian National Congress,Male,Graduate,"B.A.; Educated at Kendrapara College, Utkal University, Cuttack, Orissa",63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,6540000,1761117,0.043597098,19,19,19.63,20.04,19.52,17.42,91.68,2.21
Subhash Bapurao Wankhede,Elected,18-May-09,In office,Maharashtra,Hingoli,Shiv Sena,Male,Matric,"Educated at Zilla Parishad School, Hadgaon, Maharashtra",51,12,0,327,65%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,2210000,2212000,0.090075798,19,19.35,20.72,20.76,19.64,16.74,86.49,3.98
Subodh Kant Sahay,Elected,18-May-09,In office,Jharkhand,Ranchi,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at A.N. College, Patna and Ranchi University",62,0,0,0,59%,"This MP was a Minister. He tendered his resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,13.3,0.1,69,66%,1,0,GEN,1.6E+07,20300000,0.018436501,19,19.14,19.14,19.13,19.13,18.81,98.26,0.33
Sucharu Ranjan Haldar,Elected,18-May-09,In office,West Bengal,Ranaghat,All India Trinamool Congress,Male,Post Graduate,"M.B.B.S., DTM&H, DDV, M.D.; Educated at (i) Kanakrapara Municiapal Polytechnic High School, (ii) Hooghly Mohsin College, (iii) Medical College, Kolkata, (iv) Kolkata School of Tropical Medicine, (v) University College of Medicine (Kolkata University) and ",73,6,0,29,84%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,SC,1E+07,882895,0.088755697,19,20.14,21.45,23.55,20.82,21.48,106.64,-0.03
Sudarshan Bhagat,Elected,18-May-09,In office,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",44,20,0,402,90%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%,0,0,ST,2085000,1891168,0.0158563,19,19.14,19.14,18.75,18.75,18.36,95.91,0.78
